a_rjup,precision_uas,m_min_Mearth
10.0,2,0.00325
10.0,5,0.00814
10.0,10,0.01627
10.0,20,0.03255
10.0,50,0.07572
10.0,100,0.17488
10.0,200,0.46642
10.0,500,0.87441
10.0,1000,2.01951
20.0,2,0.00289
20.0,5,0.00723
20.0,10,0.01447
20.0,20,0.02693
20.0,50,0.06733
20.0,100,0.13465
20.0,200,0.26931
20.0,500,0.67327
20.0,1000,1.44699
40.0,2,0.00239
40.0,5,0.00599
40.0,10,0.01197
40.0,20,0.02395
40.0,50,0.05986
40.0,100,0.11973
40.0,200,0.23945
40.0,500,0.59863
40.0,1000,1.19725
