a_rjup,precision_uas,m_min_Mearth
10.0,2,0.00197
10.0,5,0.00492
10.0,10,0.00983
10.0,20,0.01967
10.0,50,0.04917
10.0,100,0.09152
10.0,200,0.21136
10.0,500,0.65572
10.0,1000,1.40928
20.0,2,0.00114
20.0,5,0.00284
20.0,10,0.00568
20.0,20,0.01136
20.0,50,0.02839
20.0,100,0.05678
20.0,200,0.11357
20.0,500,0.3051
20.0,1000,0.61019
40.0,2,0.00066
40.0,5,0.00164
40.0,10,0.00328
40.0,20,0.00656
40.0,50,0.01639
40.0,100,0.03279
40.0,200,0.06557
40.0,500,0.16393
40.0,1000,0.32786
